n,min_k_for_aggregated_combinations,log_sum_of_combinations_min_k_aggregated_combinations,sum_of_combinations_min_k_aggregated_combinations,min_k,log_combinations_min_k,combinations_min_k,max_k,log_combinations_max_k,combinations_max_k
1369,16,122.34256409935267,6741888106268233131087892068193291166,16,122.32542749283124,6662280408740747415045740498096547699,17,128.63991077555744,530239140766248897209228640819095825691
1370,16,122.35949954113309,6821495803795718847130043638290034634,16,122.34237564710413,6741007503674168359388969337069623595,17,128.6579248294288,536901421174989644624274381317192373390
1371,16,122.37642256702561,6901984103917269334871117939510445674,16,122.35931136664213,6820606116263678834481385211160482619,17,128.67592566163302,543642428678663812983663350654261996985
1372,16,122.39333319522173,6983362091570859835260850667860408730,16,122.3762346696786,6901085244479179469696504800672700703,17,128.6939132915646,550463034794927491818144735865422479604
1373,16,122.410231443873,7065638938662540200825196535048116758,16,122.39314557440684,6982453972490724695573545387858229967,17,128.71188773857534,557364120039406671287841240666095180307
1374,16,122.42711733109113,7148823904834355706076847682238003550,16,122.41004409898021,7064721471430232497583248426301331351,17,128.72984902197462,564346574011897395983414786053953410274
1375,16,122.4439908749481,7232926338238478914570446938174675750,16,122.4269302615122,7147897000159359591005862094307822375,17,128.74779716102927,571411295483327628480998034480254741625
1376,16,122.46085209347632,7317955676317598238135031782041529126,16,122.4438040800766,7231989906043587350900048707182032050,17,128.76573217496397,578559192483486988072003896574562564000
1377,16,122.47770100466867,7403921446591609125370014856901026203,16,122.46066557270757,7317009625732564130925324812483216850,17,128.78365408296122,585791182389530575422903945281744596050
1378,16,122.4945376264787,7490833267450654119814704901318835557,16,122.47751475739979,7402965685946749906325328628195207650,17,128.80156290416153,593108192015263139553829270094227812900
1379,16,122.51136197682068,7578700848954558333304081174442463465,16,122.49435165210856,7489867704270409479693784430140272450,17,128.81945865766343,600511157701209889460154598722423020550
1380,16,122.52817407356976,7667533993638707186914377918744654481,16,122.51117627474991,7577725389951000793238579555420510250,17,128.83734136252374,608001025405480298939848383152563293000
1381,16,122.54497393456202,7757342597326413580590176282068798713,16,122.52798864320076,7666548544705005198141009791967563850,17,128.85521103775764,615578750795431299733086962707983803250
1382,16,122.56176157759467,7848136649947821963039342772170033577,16,122.54478877529893,7756347063530246840286146070643611450,17,128.8730677023387,623245299340136304931227972499951367100
1383,16,122.5785370204261,7939926236365397085792539473696455705,16,122.56157668884336,7847130935524748632125632783979601050,17,128.89091137519907,631001646403666551771514118570594978550
1384,16,122.59530028077602,8032721537206045539459446163413310361,16,122.57835240159419,7938910244712172592735289307768836150,17,128.90874207522975,638848777339191300403639751354574579600
1385,16,122.61205137632555,8126532829699918486183603019057784573,16,122.59511593127283,8031695170873892652255935493980889750,17,128.9265598212804,646787687583903472996375040662343415750
1386,16,122.62879032471734,8221370488525944320111270544134679397,16,122.61186729556216,8125495990387748332866223791720812550,17,128.9443646321597,654819382754777365648630976156324305500
1387,16,122.64551714355572,8317244986664140307356317296548546245,16,122.62860651210653,8220323077073528036240300801689837350,17,128.96215652663543,662944878745165113981497199948045118050
1388,16,122.66223185040677,8414166896254752578472333791407255141,16,122.64533359851198,8316186903045230987100246000543363150,17,128.97993552343445,671165201822238642017737500749734955400
1389,16,122.67893446279838,8512146889464274169844421582271147133,16,122.66204857234628,8413098039570157203992892712858507950,17,128.99770164124303,679481388725283873004837746750278318550
1390,16,122.69562499822051,8611195739358391135695950451683786317,16,122.67875145113905,8511067157934875191812315044303730750,17,129.01545489870682,687894486764854030208830639463136826500
1391,16,122.71230347412515,8711324320781907079579585859063841885,16,122.6954422523819,8610105030318117375862494710273810526,17,129.03319531443094,696405553922788905400642954507440557250
1392,16,122.7289699079265,8812543611245696783296677007853873245,16,122.71212099352853,8710222530670653624419035346439785067,17,129.0509229069803,705015658953107022776505449217714367776
1393,16,122.74562431700107,8914864691820739942174318669267961424,16,122.72878769199482,8811430635602193535813882525483384603,17,129.06863769487944,713725881483777676400924484564154152843
1394,16,122.76226671868781,9018298748039286348534754813052538246,16,122.74544236515895,8913740425275368497042490740583336819,17,129.0863396966129,722537312119379869936738367089637537446
1395,16,122.77889713028814,9122857070803204200027018885521739674,16,122.76208503036152,9017163084306844853788451474339198595,17,129.10402893062516,731451052544655238433780857830220874265
1396,16,122.79551556906618,9228551057299563546265586296704280754,16,122.77871570490564,9121709902675619866585998737809797999,17,129.12170541532083,740468215628962083287569309304560072860
1397,16,122.81212205224872,9335392211923507225945173855598763510,16,122.79533440605705,9227392276638552464605822039623669663,17,129.13936916906476,749589925531637703154155308042369870859
1398,16,122.82871659702548,9443392147208461987284525671573857358,16,122.81194115104424,9334221709653181147264065999561425607,17,129.15702021018214,758817317808276255618761130081993540522
1399,16,122.84529922054904,9552562584763742827304985343586289110,16,122.82853595705849,9442209813307881724528147746483322071,17,129.17465855695863,768151539517929436766025196081554966129
1400,16,122.86186993993509,9662915356219603930081822940689256150,16,122.84511884125409,9551368308259417929435987604824169725,17,129.19228422764047,777593749331237318490553343828038288200
1401,16,122.87842877226252,9774462404179789930727658276554342576,16,122.86168982074837,9661709025177938280967378075349214285,17,129.20989724043457,787145117639496736419989331432862457925
1402,16,122.89497573457344,9887215783181641580487938477759470868,16,122.87824891262177,9773243905699472922017506537979508245,17,129.22749761350866,796806826664674674700956709508211672210
1403,16,122.91151084387333,10001187660663810238958370417539433492,16,122.89479613391806,9885985003385984505833137471366438405,17,129.24508536499133,806580070570374147622974216046191180455
1404,16,122.92803411713119,10116390317941635972083603363712428580,16,122.91133150164437,9999944484693027554891732715993140865,17,129.2626605129723,816466055573760132128807353517557618860
1405,16,122.94454557127962,10232836151190244389275474011431716296,16,122.92785503277126,10115134629945071068842969377948425425,17,129.2802230755023,826466000058453159683699086233550759725
1406,16,122.96104522321484,10350537672435417709707978644915007168,16,122.94436674423294,10231567834318539512800874061435601545,17,129.29777307059345,836581134688398230752542055611499185150
1407,16,122.97753308979692,10469507510552295906615083228394412792,16,122.96086665292722,10349256608832627673983342778173897465,17,129.3153105162191,846812702522716770265342929672934786695
1408,16,122.99400918784983,10589758412271964139246823678614928120,16,122.9773547757158,10468213581347945233454415683670149160,17,129.3328354303142,857161959131549397939326272451108684160
1409,16,123.01047353416152,10711303243195983045039231673559707081,16,122.99383112942418,10588451497573047260543626488364135080,17,129.3503478307751,867630172712897343172780688134778833320
1410,16,123.02692614548403,10834154988818918829534836858755279083,16,123.0102957308419,10709983222078907200406394080770036200,17,129.36784773546,878218624210470390433324314623142968400
1411,16,123.04336703853365,10958326755558930458663279636740521967,16,123.02674859672263,10832821739321389290160159174169549160,17,129.38533516218882,888928607432549297633730708703913004600
1412,16,123.05979622999094,11083831771796471627166400099311494775,16,123.04318974378415,10956980154671777706093226901094128520,17,129.40281012874345,899761429171870686923890867878082553760
1413,16,123.07621373650088,11210683388921165548239573297528861031,16,123.05961918870862,11082471695455420113607537302251971080,17,129.42027265286774,910718409326542464629984094779176682280
1414,16,123.09261957467295,11338895082386910982871609292805750983,16,123.07603694814259,11209309711998543662833374639044554440,17,129.4377227522677,921800881021997884743591632081428653360
1415,16,123.10901376108129,11468480452775278302909843946566947527,16,123.09244303869708,11337507678683301846253913591313827400,17,129.4551604446115,933010190733996428406425006720473207800
1416,16,123.12539631226468,11599453226867254759565774301820067655,16,123.10883747694776,11467079195011111010211101175214556856,17,129.47258574752973,944347698412679730252678920311787035200
1417,16,123.14176724472676,11731827258723398508920447428425578455,16,123.12522027943496,11598037986674335689842348583354052152,17,129.48999867861542,955814777607690841262890021487001592056
1418,16,123.15812657493608,11865616530772461327998546273497104759,16,123.14159146266384,11730397906636382316830563688442258168,17,129.50739925542413,967412815594365176952732370070355644208
1419,16,123.17447431932617,12000835154908540339166528858551951351,16,123.15795104310449,11864172936220261231348945027725990264,17,129.52478749547404,979143213501001559269562933758797902376
1420,16,123.19081049429568,12137497373596819446984112689377912439,16,123.17429903719199,11999377186205677313757480013796941720,17,129.5421634162462,991007386437221820500911878786523892640
1421,16,123.2071351162085,12275617560987961580210745364958883159,16,123.19063546132647,12136024897934709937971088327121319704,17,129.55952703518443,1003006763623427497814669358800320834360
1422,16,123.2234482013938,12415210224041213222450402402796446615,16,123.20696033187335,12274130444426143336980716643788418648,17,129.57687836969555,1015142788521362207752640447127442154064
1423,16,123.23974976614615,12556290003656283107920088161804474583,16,123.2232736651633,12413708331498508861779360187712096472,17,129.5942174371495,1027416918965788351089621163771230572712
1424,16,123.25603982672563,12698871675814057354060816135896852695,16,123.23957547749241,12554773198901901007935943826208824841,17,129.61154425487936,1039830627297286859951400523958942669184
1425,16,123.27231839935793,12842970152726213700185688445584880550,16,123.25586578512223,12697339821458629479282271080445404825,17,129.62885884018152,1052385400496188760959336467785151494025
1426,16,123.28858550023443,12988600483993797921089105810724356276,16,123.27214460427996,12841423110212769955642920965046203745,17,129.64616121031577,1065082740317647390438618738865596898850
